"uniprotkb_canonical_ac","status","gene_name","reviewed_isoforms","unreviewed_isoforms"
"Q8SXV9-1","unreviewed","Dmel\CG12998","","Q8SXV9-1"
"Q9VGW5-1","unreviewed","BcDNA:RE74890","","Q9VGW5-1"
"Q9VME8-1","unreviewed","ppk14","","Q9VME8-1"
"Q9VME9-1","unreviewed","ppk7","","Q9VME9-1"
"Q9VME0-1","unreviewed","Dmel\CG13982","","Q9VME0-1"
"Q9VME1-1","unreviewed","CG33295","","Q9VME1-1"
"Q9VME2-1","unreviewed","Nepl6","","Q9VME2-1"
"Q9VME3-1","unreviewed","Nepl5","","Q9VME3-1"
"Q9VVS1-1","unreviewed","Dic4","","Q9VVS1-1"
"Q9VVS1-1","unreviewed","Dic4","","M9PFM0-1"
"Q9VVS3-1","unreviewed","anon-WO0118547.731","","Q9VVS3-1"
"Q9VME7-1","unreviewed","AAF52372","","Q9VME7-1"
"A0A0B4KFC0-1","unreviewed","shn","","A0A0B4KFC0-1"
"A0A0B4KFC0-1","unreviewed","shn","","A1Z8F4-1"
"A0A0B4KFC0-1","unreviewed","shn","","Q0E9C5-1"
"A0A0B4KFC4-1","unreviewed","rib","","A0A0B4KFC4-1"
"A0A0B4KFC4-1","unreviewed","rib","","Q7KF43-1"
"Q59E14-1","unreviewed","CT35363","","Q59E14-1"
"A0A0B4KFC9-1","unreviewed","Dmel\CG10073","","A0A0B4KFC9-1"
"A0A0B4KFC9-1","unreviewed","Dmel\CG10073","","A1ZBK4-1"
"Q9VZZ7-1","unreviewed","BcDNA:GH02340","","M9PED1-1"
"Q9VZZ7-1","unreviewed","BcDNA:GH02340","","Q9VZZ7-1"
"Q9VZZ4-1","reviewed","Pxn","Q9VZZ4-1",""
"Q9VZZ4-1","reviewed","Pxn","Q9VZZ4-2",""
"Q7KN74-1","unreviewed","Ttc7","","Q7KN74-1"
"Q7KN74-1","unreviewed","Ttc7","","A0A0B4K7H0-1"
"Q7KN75-1","unreviewed","Dp1","","Q7KN75-1"
"Q9VWS8-1","unreviewed","Dmel\CG15042","","Q9VWS8-1"
"Q9VWS9-1","unreviewed","Dmel\CG6481","","Q9VWS9-1"
"Q9VWS4-1","reviewed","wgn","Q9VWS4-1","X2JCG6-1"
"Q9VWS5-1","unreviewed","Dmel\CG15040","","Q9VWS5-1"
"Q9VWS7-1","unreviewed","Dmel\CG15047","","Q9VWS7-1"
"Q9VWS0-1","unreviewed","Ing3","","Q9VWS0-1"
"Q9VWS1-1","unreviewed","Hou","","Q9VWS1-1"
"Q9VWS2-1","reviewed","Nup35","Q9VWS2-1",""
"Q9VWS3-1","unreviewed","Rip11","","X2JEA7-1"
"Q9VWS3-1","unreviewed","Rip11","","Q9VWS3-1"
"Q9VWS3-1","unreviewed","Rip11","","X2JFP6-1"
"Q9VWS3-1","unreviewed","Rip11","","X2JL40-1"
"Q9VWS3-1","unreviewed","Rip11","","Q494I2-1"
"G4LU05-1","unreviewed","Neto","","G4LU05-1"
"G4LU05-1","unreviewed","Neto","","Q9VYC7-1"
"Q9VUR8-1","unreviewed","Dmel\CG13449","","M9PI68-1"
"Q9VUR8-1","unreviewed","Dmel\CG13449","","Q9VUR8-1"
"P48554-1","reviewed","Rac2","P48554-1","M9PBU2-1"
"P48555-1","reviewed","Rala","P48555-1","Q962I2-1"
"Q9VZZ8-1","unreviewed","BcDNA:AT01695","","Q9VZZ8-1"
"A0A0B4JDC9-1","unreviewed","Rbp","","A0A0B4JCX2-1"
"A0A0B4JDC9-1","unreviewed","Rbp","","A0A0B4KGQ6-1"
"A0A0B4JDC9-1","unreviewed","Rbp","","A0A0B4KG12-1"
"A0A0B4JDC9-1","unreviewed","Rbp","","A0A126GUV2-1"
"A0A0B4JDC9-1","unreviewed","Rbp","","Q86BS0-1"
"A0A0B4JDC9-1","unreviewed","Rbp","","Q9VF66-1"
"A0A0B4JDC9-1","unreviewed","Rbp","","A0A0B4JDC9-1"
"A0A0B4JDC9-1","unreviewed","Rbp","","E1JIL7-1"
"A0A0B4JDC9-1","unreviewed","Rbp","","Q86BP0-1"
"Q9VBR8-1","unreviewed","anon-96CDa","","Q9VBR8-1"
"Q9V969-1","reviewed","Gr57a","Q9V969-1",""
"Q9V968-1","reviewed","galla-1","Q9V968-1","A0A0B4LG04-1"
"Q9V968-1","reviewed","galla-1","","A0A0B4LH12-1"
"Q9VBR9-1","unreviewed","Dmel\CG10669","","Q9VBR9-1"
"P21663-1","reviewed","Anp","P21663-1","A0A0B4LHV6-1"
"Q9VE80-1","unreviewed","Dmel\CG7675","","Q8T0J5-1"
"Q9VE80-1","unreviewed","Dmel\CG7675","","Q9VE80-1"
"P11996-1","reviewed","Lsp1beta","P11996-1","X2J8F5-1"
"P11997-1","reviewed","Lsp1gamma","P11997-1",""
"P11995-1","reviewed","Lsp1alpha","P11995-1",""
"A1Z8T6-1","unreviewed","OSCP1","","A1Z8T6-1"
"P03896-1","reviewed","mt:ND2","P03896-1",""
"A0A6M3QH83-1","unreviewed","Dmel\CG12869","","Q8T016-1"
"A0A6M3QH83-1","unreviewed","Dmel\CG12869","","A0A6M3QH83-1"
"A1Z8T9-1","unreviewed","Dmel\CG8407","","A1Z8T9-1"
"A1ZAI5-1","reviewed","","A1ZAI5-1","E1JH83-1"
"A1ZAI1-1","unreviewed","Dolk","","A1ZAI1-1"
"A1ZAI3-1","reviewed","","A1ZAI3-1","A0A0B4LFD0-1"
"A1ZAI8-1","unreviewed","CT35755","","A1ZAI8-1"
"M9PJN5-1","unreviewed","HDAC6","","M9NEH6-1"
"M9PJN5-1","unreviewed","HDAC6","","M9NGF7-1"
"M9PJN5-1","unreviewed","HDAC6","","M9PJN5-1"
"M9PJN5-1","unreviewed","HDAC6","","Q86NK9-1"
"M9PJN5-1","unreviewed","HDAC6","","Q8IR37-1"
"M9PJN5-1","unreviewed","HDAC6","","Q8IR38-1"
"M9PJN5-1","unreviewed","HDAC6","","Q9XYX1-1"
"Q9VWH9-1","unreviewed","Dmel\CG12204","","Q9VWH9-1"
"M9PDV2-1","unreviewed","Tsp5D","","M9PDV2-1"
"M9PDV2-1","unreviewed","Tsp5D","","Q9W441-1"
"Q8IPP8-1","unreviewed","Dmel\CG31548","","Q8IPP8-1"
"Q8IPP9-1","unreviewed","CG11005","","Q8IPP9-1"
"Q86BY9-1","reviewed","rig","Q86BY9-1",""
"Q8IMP6-1","reviewed","","Q8IMP6-1",""
"Q8IMP6-1","reviewed","","Q8IMP6-2",""
"Q9NB04-1","reviewed","Patj","Q9NB04-1","A4V1B2-1"
"A1Z9R9-1","unreviewed","Dmel\CG30076","","A1Z9R9-1"
"A1Z9R1-1","unreviewed","Achl","","A1Z9R1-1"
"A1Z9R4-1","reviewed","Oaz","A1Z9R4-1","A0A0B4JD76-1"
"Q9VTC4-1","reviewed","galla-2","Q9VTC4-1",""
"Q9VKQ6-1","reviewed","","Q9VKQ6-1",""
"Q8SZN1-1","unreviewed","Dmel\CG31313","","A0A0B4KHI6-1"
"Q8SZN1-1","unreviewed","Dmel\CG31313","","Q8SZN1-1"
"Q9VTC8-1","unreviewed","Cpr67Fb","","Q9VTC8-1"
"Q9VKQ2-1","unreviewed","Dmel\CG17127","","Q9VKQ2-1"
"Q7JQ32-1","reviewed","Gyc76C","Q7JQ32-1","A4V243-1"
"A1ZBY5-1","unreviewed","Dmel\CG13443","","A1ZBY5-1"
"A1ZBY4-1","unreviewed","Dmel\CG13442","","A1ZBY4-1"
"A1ZBY3-1","unreviewed","dpr1","","A1ZBY3-1"
"A1ZBY2-1","unreviewed","Dmel\CG13438","","A1ZBY2-1"
"A1ZBY1-1","reviewed","Fem-1","A1ZBY1-1",""
"A1ZBY1-1","reviewed","Fem-1","A1ZBY1-3",""
"Q9VH78-1","reviewed","Alg12","Q9VH78-1",""
"Q7KUN9-1","unreviewed","Dmel\CG13064","","Q7KUN9-1"
"Q7KUN4-1","unreviewed","obst-H","","Q7KUN4-1"
"Q7KUN6-1","unreviewed","Dmel\CG6244","","Q7KUN6-1"
"A0A0B4K759-1","unreviewed","Dmel\CG14742","","A0A0B4K759-1"
"A0A0B4K755-1","unreviewed","MIP09856","","A0A0B4LET5-1"
"A0A0B4K755-1","unreviewed","MIP09856","","A0A0B4K755-1"
"A0A0B4K753-1","reviewed","hemo","A0A0B4K753-1",""
"Q9W1G4-1","unreviewed","Dmel\CG2812","","Q9W1G4-1"
"Q9W1G7-1","unreviewed","Nap1","","Q9W1G7-1"
"Q9W1G1-1","unreviewed","Dmel\CG3735","","Q9W1G1-1"
"Q9W1G0-1","reviewed","Taldo","Q9W1G0-1",""
"Q9VY42-1","unreviewed","Tat","","Q9VY42-1"
"Q9VY41-1","unreviewed","Dmel\CG13404","","Q9VY41-1"
"Q9VY47-1","unreviewed","CG1846","","Q8MR65-1"
"Q9VY47-1","unreviewed","CG1846","","Q9VY47-1"
"Q8SXK0-1","unreviewed","BcDNA:RE18748","","Q8SXK0-1"
"Q9VY45-1","unreviewed","Dmel\CG1434","","Q9VY45-1"
"Q9VY44-1","unreviewed","mRNA-cap","","Q9VY44-1"
"A4V0X6-1","unreviewed","38C.42","","A4V0X6-1"
"Q9VY48-1","unreviewed","mRpL38","","Q9VY48-1"
"Q9VCT9-1","unreviewed","Usp12-46","","Q9VCT9-1"
"Q1RKZ2-1","unreviewed","CG42363-RA","","Q1RKZ2-1"
"Q9VCT3-1","unreviewed","Dmel\CG6660","","Q9VCT3-1"
"Q9VCT2-1","unreviewed","Gbp3","","Q9VCT2-1"
"Q9VCT5-1","unreviewed","Dmel\CG4704","","Q9VCT5-1"
"Q9VCT4-1","unreviewed","klg","","Q9VCT4-1"
"Q9VCT7-1","unreviewed","Dmel\CG7031","","A0A0B4LHI0-1"
"Q9VCT7-1","unreviewed","Dmel\CG7031","","Q9VCT7-1"
"Q9VCT6-1","unreviewed","Dmel\CG13840","","Q9VCT6-1"
"A8JUS8-1","unreviewed","Dmel\CG13373","","A8JUS8-1"
"A8JUS8-1","unreviewed","Dmel\CG13373","","Q9W5G0-1"
"A8JUS1-1","unreviewed","inaF-D","","A8JUS1-1"
"A8JUS7-1","unreviewed","Dmel\CG17707","","X2JHQ0-1"
"A8JUS7-1","unreviewed","Dmel\CG17707","","A8JUS7-1"
"Q7JYK5-1","unreviewed","BcDNA:LP06072","","Q7JYK5-1"
"P06602-1","reviewed","eve","P06602-1",""
"P06603-1","reviewed","alphaTub84B","P06603-1",""
"P06601-1","reviewed","prd","P06601-1",""
"P06601-1","reviewed","prd","P06601-2",""
"P06606-1","reviewed","alphaTub67C","P06606-1",""
"P06607-1","reviewed","Yp3","P06607-1","X2JEX8-1"
"P06604-1","reviewed","alphaTub85E","P06604-1",""
"P06605-1","reviewed","alphaTub84D","P06605-1",""
"Q9VWN9-1","reviewed","Dora","Q9VWN9-1",""
"Q9VWN9-1","reviewed","Dora","Q9VWN9-2",""
"Q9VWN9-1","reviewed","Dora","Q9VWN9-3",""
"Q9VWN5-1","reviewed","mindy3","Q9VWN5-1","X2JL49-1"
"P18475-1","reviewed","tor","P18475-1",""
"P18475-1","reviewed","tor","P18475-3",""
"Q9VWN3-1","unreviewed","SdhBL","","Q9VWN3-1"
"A0A0B4K6G5-1","unreviewed","Nha2","","A0A0B4K6G5-1"
"A0A0B4K6G5-1","unreviewed","Nha2","","Q9VCS7-1"
"A0A0B4K6G3-1","unreviewed","pps","","A0A0B4K6G3-1"
"A0A0B4K6G3-1","unreviewed","pps","","Q9VG78-1"
"A0A0B4K6G0-1","unreviewed","Dmel\CG4702","","A0A0B4K6G0-1"
"A0A0B4K6G0-1","unreviewed","Dmel\CG4702","","Q9VGD1-1"
"P25823-1","reviewed","tud","P25823-1","A0A0B4LG05-1"
"P25822-1","reviewed","pum","P25822-1","A0A0B4K612-1"
"P25822-1","reviewed","pum","P25822-2","A0A0B4KFF0-1"
"P25822-1","reviewed","pum","P25822-3","A0A0B4KFX7-1"
"Q9GYU8-1","reviewed","mbo","Q9GYU8-1",""
"Q9GYU7-1","reviewed","MED10","Q9GYU7-1","M9PFU7-1"
"P00522-1","reviewed","Abl","P00522-1","A8JNU2-1"
"P00522-1","reviewed","Abl","","M9PCT8-1"
"P00522-1","reviewed","Abl","","M9PCU1-1"
"P00522-1","reviewed","Abl","","M9PFI5-1"
"P00522-1","reviewed","Abl","","M9PFI8-1"
"P00522-1","reviewed","Abl","","M9PFS1-1"
"P00522-1","reviewed","Abl","","M9PFX0-1"
"P00522-1","reviewed","Abl","","M9PI83-1"
"P00522-1","reviewed","Abl","","X2JGR4-1"
"P00528-1","reviewed","Src64B","P00528-1","M9MSK3-1"
"P00528-1","reviewed","Src64B","","X2JCI2-1"
"P08736-1","reviewed","eEF1alpha1","P08736-1",""
"Q9V9Y8-1","unreviewed","CAH6","","Q9V9Y8-1"
"Q9V9Y9-1","reviewed","spn-F","Q9V9Y9-1","A0A0B4KI68-1"
"Q4V4U2-1","unreviewed","AAF46801","","Q4V4U2-1"
"Q9VNL8-1","unreviewed","Osi1","","Q9VNL8-1"
"Q9VNL4-1","reviewed","","Q9VNL4-1",""
"A1Z813-1","unreviewed","Sec24AB","","A1Z813-1"
"A1Z813-1","unreviewed","Sec24AB","","A0A0B4LEK8-1"
"Q9V9Y4-1","reviewed","pHCl-2","Q9V9Y4-1",""
"Q9V9Y5-1","unreviewed","ppk24","","Q9V9Y5-1"
"Q9V9Y6-1","unreviewed","CAH5","","Q9V9Y6-1"
"Q9VNL3-1","reviewed","Vha14-2","Q9VNL3-1","A0A0B4K626-1"
"Q8SZ60-1","unreviewed","c-SPH101","","Q8SZ60-1"
"M9PD30-1","unreviewed","Dmel\CG5850","","A0A6H2EIL3-1"
"M9PD30-1","unreviewed","Dmel\CG5850","","M9NCT0-1"
"M9PD30-1","unreviewed","Dmel\CG5850","","M9NEX9-1"
"M9PD30-1","unreviewed","Dmel\CG5850","","M9PD30-1"
"M9PD30-1","unreviewed","Dmel\CG5850","","Q0E8R8-1"
"M9PD30-1","unreviewed","Dmel\CG5850","","Q9VL56-1"
"Q8SZ63-1","reviewed","Golgin84","Q8SZ63-1",""
"X2J8R6-1","unreviewed","Dmel\CG45413","","X2J8R6-1"
"A0A0B4LGV8-1","unreviewed","CR43920","","A0A0B4LGV8-1"
"Q9VU38-1","unreviewed","Adk2","","Q9VU38-1"
"Q9VU38-1","unreviewed","Adk2","","Q9VU39-1"
"Q9VU33-1","unreviewed","Cul6","","Q9VU33-1"
"Q9VU30-1","unreviewed","Dmel\CG11262","","Q9VU30-1"
"Q9VU31-1","reviewed","","Q9VU31-1",""
"Q9VU36-1","unreviewed","mRpL20","","Q9VU36-1"
"Q9VU37-1","unreviewed","Icmt","","Q9VU37-1"
"Q9VU34-1","unreviewed","MICAL-like","","Q9VU34-1"
"Q9VU35-1","unreviewed","Dmel\CG11267","","Q9VU35-1"
"Q5LJP0-1","unreviewed","kl-2","","Q5LJP0-1"
"Q8T8U1-1","unreviewed","Prosbeta4R1","","Q8T8U1-1"
"Q5LJP9-1","reviewed","","Q5LJP9-1",""
"P41092-1","reviewed","RpL27A","P41092-1","M9MRC9-1"
"P41093-1","reviewed","RpL18A","P41093-1",""
"P41094-1","reviewed","RpS18","P41094-1",""
"A0A4D6K5M0-1","unreviewed","Gmap","","A0A4D6K5M0-1"
"A0A4D6K5M0-1","unreviewed","Gmap","","Q9VXU1-1"
"A0A4D6K5M0-1","unreviewed","Gmap","","Q9VXU2-1"
"P40320-1","reviewed","Sam-S","P40320-1","A4UZW2-1"
"P40320-1","reviewed","Sam-S","P40320-2","E4NKH6-1"
"P40320-1","reviewed","Sam-S","P40320-3","M9PAY2-1"
"P40320-1","reviewed","Sam-S","P40320-4",""
"Q86PD3-1","unreviewed","CG30022;CG30023","","Q86PD3-1"
"Q8IS44-1","reviewed","Dop2R","Q8IS44-1",""
"Q8IS44-1","reviewed","Dop2R","Q8IS44-2",""
"Q8IS44-1","reviewed","Dop2R","Q8IS44-3",""
"Q8IS44-1","reviewed","Dop2R","Q8IS44-4",""
"Q8IS44-1","reviewed","Dop2R","Q8IS44-5",""
"Q8IS44-1","reviewed","Dop2R","Q8IS44-6",""
"A1Z7R6-1","unreviewed","SLC46","","A1Z7R6-1"
"A1Z7R6-1","unreviewed","SLC46","","A1Z7R7-1"
"A1Z7R9-1","unreviewed","Dmel\CG42382","","A1Z7R9-1"
"A1Z7R8-1","unreviewed","Rad51D","","A1Z7R8-1"
"B7Z0P2-1","unreviewed","Ir94d","","B7Z0P2-1"
"Q95TY8-1","unreviewed","PUT2","","Q95TY8-1"
"Q9VJ30-1","unreviewed","Nak","","Q7KT38-1"
"Q9VJ30-1","unreviewed","Nak","","Q9VJ30-1"
"Q9VJ30-1","unreviewed","Nak","","X2J946-1"
"E1JIR1-1","unreviewed","Pus1","","E1JIR1-1"
"E1JIR1-1","unreviewed","Pus1","","Q9VDK6-1"
"P83097-1","reviewed","Wsck","P83097-1",""
"Q9TVI0-1","unreviewed","GluRIID","","Q9TVI0-1"
"Q9VF28-1","unreviewed","Arpc3A","","Q9VF28-1"
"Q9VF26-1","reviewed","spn-E","Q9VF26-1",""
"Q9VF27-1","reviewed","ND-23","Q9VF27-1",""
"Q9VF24-1","unreviewed","cv-d","","Q9VF24-1"
"Q9VF25-1","unreviewed","Pbp45","","Q9VF25-1"
"Q9VF23-1","unreviewed","AK-3","","Q9VF23-1"
"Q9VF20-1","unreviewed","Hmt-1","","Q9VF20-1"
"Q7K3W2-1","unreviewed","Dmel\CG8728","","Q7K3W2-1"
"Q7K3W4-1","unreviewed","qsm","","Q7K3W4-1"
"A8DYB7-1","unreviewed","Dyb","","A1Z904-1"
"A8DYB7-1","unreviewed","Dyb","","A1Z906-1"
"A8DYB7-1","unreviewed","Dyb","","A0A0B4K6Z2-1"
"A8DYB7-1","unreviewed","Dyb","","A1Z907-1"
"A8DYB7-1","unreviewed","Dyb","","A8DYB7-1"
"A8DYB7-1","unreviewed","Dyb","","E2QCB7-1"
"A8DYB7-1","unreviewed","Dyb","","Q0E9B2-1"
"A8DYB4-1","unreviewed","Dmel\CG34232","","A8DYB4-1"
"A8DYB4-1","unreviewed","Dmel\CG34232","","Q6IGL8-1"
"A8DYB2-1","unreviewed","Dmel\CG13177","","A8DYB2-1"
"A8DYB0-1","unreviewed","Dmel\CG13185","","A8DYB0-1"
"A8DYB1-1","unreviewed","Dmel\CG34231","","A8DYB1-1"
"A8DYB9-1","unreviewed","s-cup","","A8DYB9-1"
"Q9I7J0-1","unreviewed","Dmel\CG5023","","Q9I7J0-1"
"Q9I7J1-1","unreviewed","PR72","","Q9I7J1-1"
"Q9I7J1-1","unreviewed","PR72","","A0A0B4LHF0-1"
"C0PV26-1","unreviewed","Dmel\CG42831","","C0PV26-1"
"Q9I7J8-1","unreviewed","Dmel\CG18764","","Q9I7J8-1"
"Q7KVR8-1","unreviewed","AP-1gamma","","Q7KVR7-1"
"Q7KVR8-1","unreviewed","AP-1gamma","","Q7KVR8-1"
"Q7KVR8-1","unreviewed","AP-1gamma","","Q86B59-1"
"Q7KVR8-1","unreviewed","AP-1gamma","","Q9W388-1"
"Q9NFV8-1","unreviewed","Tep1","","Q9NFV8-1"
"M9NGC6-1","unreviewed","Srpk79D","","M9MS50-1"
"M9NGC6-1","unreviewed","Srpk79D","","M9NDF9-1"
"M9NGC6-1","unreviewed","Srpk79D","","M9NDZ1-1"
"M9NGC6-1","unreviewed","Srpk79D","","M9NEI4-1"
"M9NGC6-1","unreviewed","Srpk79D","","M9NGC6-1"
"M9NGC6-1","unreviewed","Srpk79D","","M9PDA8-1"
"M9NGC6-1","unreviewed","Srpk79D","","M9PIK8-1"
"M9NGC6-1","unreviewed","Srpk79D","","Q8T3S1-1"
"M9NGC6-1","unreviewed","Srpk79D","","Q9VNV0-1"
"Q9NFV7-1","unreviewed","Tep2","","Q8IPH5-1"
"Q9NFV7-1","unreviewed","Tep2","","Q9VLY9-1"
"Q9NFV7-1","unreviewed","Tep2","","Q9VLZ0-1"
"Q9NFV7-1","unreviewed","Tep2","","Q8IPH4-1"
"Q9NFV7-1","unreviewed","Tep2","","Q9NFV7-1"
"O16844-1","reviewed","cos","O16844-1","A0A0B4KED9-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","A0A0B4K6Q9-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","A0A0B4K6R4-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","A0A0B4K6Y9-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","A0A0B4K6Z3-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","A0A0B4K6Z6-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","A0A0B4K6Z8-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","A0A0B4K7H9-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","A0A0B4K7I5-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","A0A0B4K7T5-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","A0A0B4K7T6-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","A0A0B4K7T8-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","A0A0B4K823-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","A0A0B4K828-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","A0A0B4KEF4-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","A1Z6X1-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","A1Z6X2-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","Q0E9H5-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","Q0E9H6-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","Q0E9H7-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","Q0E9H8-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","Q0E9H9-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","Q0E9I0-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","Q0E9I2-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","Q0E9I4-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","Q0E9I5-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","Q0E9I7-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","Q0E9I8-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","Q0E9I9-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","Q0E9J0-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","Q0E9J1-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","Q0E9J2-1"
"A0A0B4K6Z6-1","unreviewed","Dscam1","","Q0E9J3-1"
