"uniprotkb_canonical_ac","status","gene_name","reviewed_isoforms","unreviewed_isoforms"
"P02762-1","reviewed","Mup6","P02762-1","A9C497-1"
"Q9QYH6-1","reviewed","Maged1","Q9QYH6-1",""
"Q3SXJ3-1","unreviewed","Olfr1209","","Q3SXJ3-1"
"Q08AU9-1","reviewed","","Q08AU9-1","A0A6I8MWY8-1"
"Q08AU9-1","reviewed","","","A0A1B0GR98-1"
"Q08AU9-1","reviewed","","","A0A1B0GT03-1"
"Q08AU7-1","reviewed","Myadml2","Q08AU7-1",""
"Q08AU7-1","reviewed","Myadml2","Q08AU7-2",""
"Q5EBH1-1","reviewed","Rassf5","Q5EBH1-1","D3Z6G2-1"
"Q5EBH1-1","reviewed","Rassf5","Q5EBH1-2","A0A1D5RM65-1"
"A0A087WSM5-1","unreviewed","Gm29049","","A0A087WSM5-1"
"Q61409-1","reviewed","Pde3b","Q61409-1","E9QLQ3-1"
"A2AVK5-1","unreviewed","Olfr1234","","A2AVK5-1"
"Q80YU0-1","reviewed","Abhd16b","Q80YU0-1",""
"Q61400-1","reviewed","Ceacam10","Q61400-1","A0A0R4J0G1-1"
"Q61400-1","reviewed","Ceacam10","","A0A0U1RQ24-1"
"Q61400-1","reviewed","Ceacam10","","A0A0U1RQ82-1"
"Q61406-1","unreviewed","Cfhr1","","A0A0A6YXP6-1"
"Q61406-1","unreviewed","Cfhr1","","Q61406-1"
"Q5SRT8-1","reviewed","Ccnjl","Q5SRT8-1",""
"A0A140LIA7-1","reviewed","Gm29797","A0A140LIA7-1",""
"P70419-1","reviewed","Galnt3","P70419-1",""
"Q9EP78-1","reviewed","Chst7","Q9EP78-1",""
"Q9EP79-1","reviewed","Vmn1r52","Q9EP79-1","A0A2I3BQJ2-1"
"Q9EP79-1","reviewed","Vmn1r52","","A0A2I3BQW2-1"
"Q9EP79-1","reviewed","Vmn1r52","","A0A2I3BRC4-1"
"Q3URK3-1","reviewed","Tet1","Q3URK3-1","G3UXI7-1"
"Q3URK3-1","reviewed","Tet1","","G3UZ35-1"
"Q3URK3-1","reviewed","Tet1","","E9Q9Y4-1"
"Q3URK3-1","reviewed","Tet1","","G3UZN8-1"
"Q3URK3-1","reviewed","Tet1","","A0A1W2P7E3-1"
"Q9EP73-1","reviewed","Cd274","Q9EP73-1",""
"Q9EP71-1","reviewed","Rai14","Q9EP71-1","A0A2I3BPY7-1"
"Q9EP75-1","reviewed","Cyp4f14","Q9EP75-1","A0A3Q4EC89-1"
"Q9EP75-1","reviewed","Cyp4f14","","A0A3Q4EHX3-1"
"Q3URK1-1","reviewed","Ccdc190","Q3URK1-1","H3BLK0-1"
"Q8BYZ1-1","reviewed","Abi3","Q8BYZ1-1","F6RXN4-1"
"Q8BYZ1-1","reviewed","Abi3","Q8BYZ1-2",""
"S4R213-1","unreviewed","Lactbl1","","S4R213-1"
"P53702-1","reviewed","Hccs","P53702-1","G3UXK7-1"
"Q8R349-1","reviewed","Cdc16","Q8R349-1","A0A1B0GR68-1"
"Q8R349-1","reviewed","Cdc16","","Q3TZ92-1"
"Q8R344-1","reviewed","Ccdc12","Q8R344-1","A0A0G2JFK6-1"
"Q8R344-1","reviewed","Ccdc12","","A0A0G2JF16-1"
"O08911-1","reviewed","Mapk12","O08911-1",""
"Q80WC9-1","reviewed","Aasdh","Q80WC9-1","F7A4F9-1"
"Q80WC9-1","reviewed","Aasdh","Q80WC9-2","E9PUI6-1"
"Q80WC9-1","reviewed","Aasdh","Q80WC9-3","D3YXV2-1"
"Q80WC9-1","reviewed","Aasdh","","A0A0R4J1T8-1"
"Q80WC9-1","reviewed","Aasdh","","E9PUJ1-1"
"Q80WC9-1","reviewed","Aasdh","","D3Z2L6-1"
"O08912-1","reviewed","Galnt1","O08912-1","F6PYE1-1"
"O08912-1","reviewed","Galnt1","","E9PVK6-1"
"O08912-1","reviewed","Galnt1","","E9Q0U0-1"
"O08915-1","reviewed","Aip","O08915-1","D3YW40-1"
"O08914-1","reviewed","Faah","O08914-1",""
"O08917-1","reviewed","Flot1","O08917-1","G3UYU4-1"
"O08917-1","reviewed","Flot1","","G3UZZ5-1"
"O08917-1","reviewed","Flot1","","G3UWW8-1"
"O08917-1","reviewed","Flot1","","G3XA73-1"
"Q80WC3-1","reviewed","Tnrc18","Q80WC3-1","F6Z7L1-1"
"Q80WC3-1","reviewed","Tnrc18","Q80WC3-2","A0A0G2JFH8-1"
"Q80WC3-1","reviewed","Tnrc18","Q80WC3-3","D3YV17-1"
"O08918-1","reviewed","Ccng2","O08918-1",""
"Q80WC1-1","reviewed","Ubn2","Q80WC1-1","F6TB64-1"
"Q80WC1-1","reviewed","Ubn2","Q80WC1-2","F6UTU1-1"
"Q80WC1-1","reviewed","Ubn2","Q80WC1-3",""
"Q80WC1-1","reviewed","Ubn2","Q80WC1-4",""
"Q80WC7-1","reviewed","Agfg2","Q80WC7-1","A0A0G2JFR2-1"
"Q80WC7-1","reviewed","Agfg2","Q80WC7-2","Q3TBU7-1"
"Q80WC7-1","reviewed","Agfg2","","Q3U2K8-1"
"Q9JHY4-1","reviewed","Wfdc15b","Q9JHY4-1",""
"Q8R3V5-4","reviewed","Sh3glb2","Q8R3V5-1",""
"Q8R3V5-4","reviewed","Sh3glb2","Q8R3V5-3",""
"Q8R3V5-4","reviewed","Sh3glb2","Q8R3V5-4",""
"Q91ZK4-1","reviewed","Dmbx1","Q91ZK4-1",""
"Q91ZK4-1","reviewed","Dmbx1","Q91ZK4-2",""
"Q91ZK0-1","reviewed","Tfap2d","Q91ZK0-1",""
"Q6ZQ93-1","reviewed","Usp34","Q6ZQ93-1","Z4YN11-1"
"Q6ZQ93-1","reviewed","Usp34","Q6ZQ93-2","Z4YLQ1-1"
"Q6ZQ93-1","reviewed","Usp34","Q6ZQ93-3","F6WJB7-1"
"Q6ZQ93-1","reviewed","Usp34","Q6ZQ93-4",""
"E9PVB3-1","reviewed","Ccdc175","E9PVB3-1",""
"Q9D4U7-1","unreviewed","4930556J24Rik","","Q9D4U7-1"
"Q9D4U4-1","unreviewed","H2al3","","Q9D4U4-1"
"A0A3Q4EGJ1-1","unreviewed","Gm5155","","A0A3Q4EGJ1-1"
"F8VQ94-1","unreviewed","Pira2","","D3Z3W9-1"
"F8VQ94-1","unreviewed","Pira2","","F8VQ94-1"
"Q811W0-1","reviewed","Sox21","Q811W0-1",""
"Q811W1-1","reviewed","Aard","Q811W1-1",""
"Q8BZM0-1","reviewed","Klhl12","Q8BZM0-1",""
"Q8BZM0-1","reviewed","Klhl12","Q8BZM0-2",""
"Q8BZM1-1","reviewed","Glmn","Q8BZM1-1","Q3T9A5-1"
"Q8BZM1-1","reviewed","Glmn","","D6RGR3-1"
"Q8BZM1-1","reviewed","Glmn","","D3Z0L3-1"
"A2BEI8-1","unreviewed","Gm11757","","A2BEI7-1"
"A2BEI8-1","unreviewed","Gm11757","","A2BEI8-1"
"A0A2I3BRZ3-1","unreviewed","Klhl33","","B7ZMY3-1"
"A0A2I3BRZ3-1","unreviewed","Klhl33","","G3UW92-1"
"A0A2I3BRZ3-1","unreviewed","Klhl33","","A0A2I3BRZ3-1"
"Q60819-1","reviewed","Il15ra","Q60819-1","E9QA82-1"
"Q60819-1","reviewed","Il15ra","Q60819-2","A2AP38-1"
"Q60819-1","reviewed","Il15ra","Q60819-3","Q810T6-1"
"Q60819-1","reviewed","Il15ra","Q60819-4",""
"Q60819-1","reviewed","Il15ra","Q60819-5",""
"Q60819-1","reviewed","Il15ra","Q60819-6",""
"Q4VC33-1","reviewed","Maea","Q4VC33-1","A0A0J9YVB7-1"
"Q4VC33-1","reviewed","Maea","Q4VC33-2","A0A0J9YUL5-1"
"Q4VC33-1","reviewed","Maea","","A0A0J9YVB4-1"
"Q66GT5-1","reviewed","Ptpmt1","Q66GT5-1","A0A7N9VS33-1"
"P50429-1","reviewed","Arsb","P50429-1","A0A0R4J138-1"
"P50429-1","reviewed","Arsb","P50429-2",""
"Q8BTJ4-1","reviewed","Enpp4","Q8BTJ4-1",""
"Q8BTJ4-1","reviewed","Enpp4","Q8BTJ4-2",""
"Q4G5Y1-1","reviewed","Klhdc2","Q4G5Y1-1",""
"P50427-1","reviewed","Sts","P50427-1",""
"P59708-1","reviewed","Sf3b6","P59708-1","A0A1W2P7L7-1"
"F8VQK3-1","unreviewed","Gucy1a2","","F8VQK3-1"
"Q9R1N9-1","reviewed","Col13a1","Q9R1N9-1","A0A668KLU0-1"
"Q9R1N9-1","reviewed","Col13a1","Q9R1N9-2","D3Z7B9-1"
"Q9R1N9-1","reviewed","Col13a1","","F6Y6J7-1"
"Q9R1N9-1","reviewed","Col13a1","","D3Z7B8-1"
"A2AT96-1","unreviewed","Olfr1109","","A2AT96-1"
"Q3V3Q4-1","reviewed","Pydc3","Q3V3Q4-1",""
"Q7M729-1","reviewed","Scn4b","Q7M729-1",""
"Q3V3Q7-1","reviewed","Pacs2","Q3V3Q7-1","E9Q7E9-1"
"Q3V3Q7-1","reviewed","Pacs2","","A0A1Y7VN58-1"
"Q3V3Q7-1","reviewed","Pacs2","","A0A1Y7VLZ7-1"
"Q7M724-1","reviewed","Tas2r106","Q7M724-1",""
"Q7M725-1","reviewed","Tas2r107","Q7M725-1",""
"Q7M720-1","reviewed","Tas2r13","Q7M720-1",""
"Q7M721-1","reviewed","Tas2r120","Q7M721-1",""
"Q7M722-1","reviewed","Tas2r114","Q7M722-1",""
"Q7M723-1","reviewed","Tas2r104","Q7M723-1",""
"P10649-1","reviewed","Gstm1","P10649-1","F6WHQ7-1"
"P10649-1","reviewed","Gstm1","","A2AE89-1"
"P10648-1","reviewed","Gsta2","P10648-1","D3Z6A6-1"
"P10648-1","reviewed","Gsta2","","D3YZV3-1"
"Q3UHF7-1","reviewed","Hivep2","Q3UHF7-1","A0A087WQF9-1"
"Q3UHF3-1","reviewed","Mier3","Q3UHF3-1","D6RET2-1"
"Q3UHF3-1","reviewed","Mier3","Q3UHF3-2","F7BFR0-1"
"Q3UHF3-1","reviewed","Mier3","","A0A338P704-1"
"Q3UHF3-1","reviewed","Mier3","","A0A338P6F0-1"
"Q6T3U4-1","reviewed","Npc1l1","Q6T3U4-1","Z4YJC9-1"
"Q9D516-1","reviewed","Yju2b","Q9D516-1","E9Q5P3-1"
"Q9D516-1","reviewed","Yju2b","Q9D516-2","E9Q971-1"
"Q9D517-1","reviewed","Agpat3","Q9D517-1","D3YTN7-1"
"Q9D517-1","reviewed","Agpat3","","D3Z1M6-1"
"Q9D517-1","reviewed","Agpat3","","D3YUW0-1"
"Q9D517-1","reviewed","Agpat3","","D3YV65-1"
"Q9D517-1","reviewed","Agpat3","","A0A1W2P764-1"
"P10923-1","reviewed","Spp1","P10923-1","D3Z116-1"
"P10923-1","reviewed","Spp1","","D3Z4N2-1"
"P10923-1","reviewed","Spp1","","D3Z513-1"
"P10923-1","reviewed","Spp1","","F8WIP8-1"
"Q9D515-1","unreviewed","Slxl1","","Q9D515-1"
"Q9D513-1","reviewed","Meiob","Q9D513-1","A0A3Q4EGA1-1"
"Q9D513-1","reviewed","Meiob","","A0A3Q4EHK6-1"
"Q9D518-1","reviewed","Fam227b","Q9D518-1","E9PUC3-1"
"Q9D519-1","unreviewed","Samt2b","","Q9D519-1"
"Q8K2M0-1","reviewed","Mrpl38","Q8K2M0-1",""
"Q8K2M0-1","reviewed","Mrpl38","Q8K2M0-2",""
"Q8K2M3-1","reviewed","Srrd","Q8K2M3-1","F6Q7H5-1"
"Q8K2M3-1","reviewed","Srrd","Q8K2M3-2",""
"P21661-1","reviewed","Pcsk2","P21661-1",""
"Q8BIQ5-1","reviewed","Cstf2","Q8BIQ5-1","A2AEK3-1"
"Q8BIQ5-1","reviewed","Cstf2","Q8BIQ5-2","A2AEJ8-1"
"Q8BIQ5-1","reviewed","Cstf2","","A2AEK1-1"
"Q8BIQ5-1","reviewed","Cstf2","","F6ZKC7-1"
"O88668-1","reviewed","Creg1","O88668-1","K4DI63-1"
"O88668-1","reviewed","Creg1","","J3QP41-1"
"Q8BIQ3-1","reviewed","Znf2","Q8BIQ3-1",""
"O88662-1","reviewed","Emp2","O88662-1",""
"Q8BIQ8-1","reviewed","Znf770","Q8BIQ8-1",""
"O88665-1","reviewed","Brd7","O88665-1",""
"D3Z6Q9-1","reviewed","Bin2","D3Z6Q9-1","S4R171-1"
"D3Z6Q9-1","reviewed","Bin2","","S4R2J8-1"
"D3Z6Q9-1","reviewed","Bin2","","S4R270-1"
"D3Z6Q9-1","reviewed","Bin2","","S4R1Q1-1"
"D3Z6Q9-1","reviewed","Bin2","","S4R1B8-1"
"D3Z6Q9-1","reviewed","Bin2","","A0A5F8MQ05-1"
"Q9DB00-1","reviewed","Gon4l","Q9DB00-1","K4DI71-1"
"Q9DB00-1","reviewed","Gon4l","","A0A1D5RM47-1"
"Q9DB00-1","reviewed","Gon4l","","E9Q507-1"
"Q9DB07-1","reviewed","Ift46","Q9DB07-1","D3YYR2-1"
"Q9DB07-1","reviewed","Ift46","","D3Z4B1-1"
"Q9DB07-1","reviewed","Ift46","","A0A1L1SR19-1"
"Q9DB07-1","reviewed","Ift46","","D3YWI2-1"
"Q9DB07-1","reviewed","Ift46","","D3Z405-1"
"Q9DB07-1","reviewed","Ift46","","A0A5F8MPR6-1"
"Q9DB05-1","reviewed","Napa","Q9DB05-1","A0A1B0GR35-1"
"Q6P3D7-1","reviewed","Spic","Q6P3D7-1","D3YYM5-1"
"Q6P3D7-1","reviewed","Spic","Q6P3D7-2","D6RE28-1"
"Q6P3D0-1","reviewed","Nudt16","Q6P3D0-1","A0A087WRE5-1"
"Q6P3D0-1","reviewed","Nudt16","","A0A087WSB5-1"
"P03893-1","reviewed","Mtnd2","P03893-1",""
"Q8VC03-1","reviewed","Eml3","Q8VC03-1","A0A286YCM4-1"
"Q8VC03-1","reviewed","Eml3","","A0A286YDN1-1"
"Q8BW86-1","reviewed","Arhgef33","Q8BW86-1","A0A286YCR0-1"
"Q8BW86-1","reviewed","Arhgef33","Q8BW86-2","A0A286YDT7-1"
"Q8BW86-1","reviewed","Arhgef33","","A0A286YCN7-1"
"Q8BW86-1","reviewed","Arhgef33","","A0A286YCK4-1"
"Q8BW86-1","reviewed","Arhgef33","","A0A286YDM1-1"
"Q8BW88-1","reviewed","Plekhs1","Q8BW88-1","A0A286YDR4-1"
"Q8BW88-1","reviewed","Plekhs1","Q8BW88-2",""
"Q8BW88-1","reviewed","Plekhs1","Q8BW88-3",""
"Q8BW88-1","reviewed","Plekhs1","Q8BW88-4",""
"D3YWW5-1","unreviewed","Rtl10","","D3YWW5-1"
"P22727-1","reviewed","Wnt6","P22727-1",""
"A0A1Y7VK00-1","unreviewed","Zfp825","","K7N5X2-1"
"A0A1Y7VK00-1","unreviewed","Zfp825","","A0A1Y7VK00-1"
"A0A1Y7VK00-1","unreviewed","Zfp825","","Q91VL6-1"
"Q6PDM4-1","reviewed","Iho1","Q6PDM4-1",""
"Q8BGW0-1","reviewed","Themis","Q8BGW0-1","E0CY68-1"
"Q8BGW0-1","reviewed","Themis","Q8BGW0-2","E0CYT7-1"
"Q8BGW0-1","reviewed","Themis","Q8BGW0-3",""
"Q8BGW0-1","reviewed","Themis","Q8BGW0-4",""
"Q8BGW0-1","reviewed","Themis","Q8BGW0-5",""
"Q8BGW3-1","reviewed","Bhlhe23","Q8BGW3-1",""
"Q8BGW2-1","reviewed","Wbp1l","Q8BGW2-1",""
"Q8BGW2-1","reviewed","Wbp1l","Q8BGW2-2",""
"Q8BGW2-1","reviewed","Wbp1l","Q8BGW2-3",""
"Q8BGW2-1","reviewed","Wbp1l","Q8BGW2-4",""
"Q497P9-1","unreviewed","Gm5941","","Q497P9-1"
"Q8BGW4-1","reviewed","Dcaf12l2","Q8BGW4-1",""
"Q6PDM2-1","reviewed","Srsf1","Q6PDM2-1","F7AI47-1"
"Q6PDM2-1","reviewed","Srsf1","Q6PDM2-2","F6QXN3-1"
"Q6PDM2-1","reviewed","Srsf1","Q6PDM2-3","H7BX95-1"
"Q8BGW9-1","reviewed","Defb29","Q8BGW9-1",""
"Q8BGW8-1","reviewed","Vgll2","Q8BGW8-1",""
"P22726-1","reviewed","Wnt5b","P22726-1","D3YTW9-1"
"P22726-1","reviewed","Wnt5b","","A0A0R4J1M1-1"
"Q497P3-1","reviewed","Nupr2","Q497P3-1",""
"Q3U3I9-1","reviewed","Znf865","Q3U3I9-1","H9KUY5-1"
"P22725-1","reviewed","Wnt5a","P22725-1",""
"P22725-1","reviewed","Wnt5a","P22725-2",""
"Q5M6W3-1","reviewed","Clhc1","Q5M6W3-1","B7ZMV8-1"
"Q8BFP9-1","reviewed","Pdk1","Q8BFP9-1",""
"B2RUK9-1","unreviewed","Zfp456","","F2Z406-1"
"B2RUK9-1","unreviewed","Zfp456","","A0A286YCV7-1"
"B2RUK9-1","unreviewed","Zfp456","","B2RUK9-1"
"Q499E0-1","reviewed","Brinp3","Q499E0-1","B1AQT5-1"
"Q499E0-1","reviewed","Brinp3","","F2Z476-1"
"Q499E4-1","reviewed","Dzip1l","Q499E4-1","D3Z4F5-1"
"Q499E4-1","reviewed","Dzip1l","Q499E4-2",""
"Q499E5-1","reviewed","Stox2","Q499E5-1","A0A1D5RMH0-1"
"Q499E5-1","reviewed","Stox2","Q499E5-2","A0A1B0GRU7-1"
"Q499E5-1","reviewed","Stox2","Q499E5-3","A0A1B0GT73-1"
"Q499E6-1","reviewed","C1orf109","Q499E6-1",""
"Q499E6-1","reviewed","C1orf109","Q499E6-2",""
"Q499E6-1","reviewed","C1orf109","Q499E6-3",""
"P22724-1","reviewed","Wnt4","P22724-1",""
"J3QK46-1","unreviewed","Tmem200c","","J3QK46-1"
"J3QK46-1","unreviewed","Tmem200c","","A0A3B2W7S1-1"
"A2AAE1-1","reviewed","Kiaa1109","A2AAE1-1","F6YAT5-1"
"A2AAE1-1","reviewed","Kiaa1109","A2AAE1-2","F6Q4Y5-1"
"A2AAE1-1","reviewed","Kiaa1109","A2AAE1-3","F6RPM4-1"
"A2AAE1-1","reviewed","Kiaa1109","A2AAE1-4","A0A1D5RMC4-1"
"A2AAE1-1","reviewed","Kiaa1109","A2AAE1-5","F6YB09-1"
"A2AAE1-1","reviewed","Kiaa1109","A2AAE1-6","D6RI50-1"
"A2AAE1-1","reviewed","Kiaa1109","","A2AB97-1"
"P62631-1","reviewed","Eef1a2","P62631-1",""
"Q3U2U7-1","reviewed","Mettl17","Q3U2U7-1","E9Q5R5-1"
"Q3U2U7-1","reviewed","Mettl17","","E9Q7K9-1"
"Q3U2U7-1","reviewed","Mettl17","","E9PYZ3-1"
"Q3U2U7-1","reviewed","Mettl17","","E9Q0X9-1"
"Q3U2U7-1","reviewed","Mettl17","","F7AGB5-1"
"Q3TNL8-1","reviewed","Itprip","Q3TNL8-1","A0A494B9D9-1"
"Q3TNL8-1","reviewed","Itprip","Q3TNL8-2",""
"Q812A5-1","reviewed","Prr5","Q812A5-1",""
"Q812A5-1","reviewed","Prr5","Q812A5-2",""
"Q9D6A1-1","reviewed","Myo1h","Q9D6A1-1","A0A0J9YUC4-1"
"Q9D6A1-1","reviewed","Myo1h","Q9D6A1-2","A0A0J9YV53-1"
"Q9D6A1-1","reviewed","Myo1h","","B7ZMY2-1"
"Q9D6A1-1","reviewed","Myo1h","","A0A0J9YUE0-1"
"Q9D6A1-1","reviewed","Myo1h","","E9PWM9-1"
"Q5DTV4-1","reviewed","Zc3h12c","Q5DTV4-1","E9Q1I3-1"
"Q9QZD5-1","reviewed","Chml","Q9QZD5-1","A0A1B0GT93-1"
"Q9QZD5-1","reviewed","Chml","","A0A1B0GR39-1"
"Q9QZD5-1","reviewed","Chml","","A0A1B0GS21-1"
"Q9QZD5-1","reviewed","Chml","","A0A0R4J1A1-1"
"Q9QZD4-1","reviewed","Ercc4","Q9QZD4-1","D6RHP2-1"
"Q9QZD4-1","reviewed","Ercc4","","F7A043-1"
"Q9QZD9-1","reviewed","Eif3i","Q9QZD9-1","A2AE03-1"
"Q9QZD8-1","reviewed","Slc25a10","Q9QZD8-1",""
"E9QAU8-1","reviewed","Rnf165","E9QAU8-1","A0A0R4J2A4-1"
"Q6TYB5-1","reviewed","Fez2","Q6TYB5-1","D3Z6D5-1"
"Q6TYB5-1","reviewed","Fez2","","A0A3Q4EGS7-1"
"Q6TYB5-1","reviewed","Fez2","","A0A3Q4EH67-1"
"Q6TYB5-1","reviewed","Fez2","","Q3TN06-1"
"Q9Z273-1","reviewed","Tulp1","Q9Z273-1","F7BGL3-1"
"Q9Z273-1","reviewed","Tulp1","","F6R7T6-1"
"Q9Z273-1","reviewed","Tulp1","","A0A3B2WDC0-1"
"Q9Z273-1","reviewed","Tulp1","","A0A3B2W4A1-1"
"Q9Z273-1","reviewed","Tulp1","","Q8K0Y6-1"
"Q9Z273-1","reviewed","Tulp1","","B8JJC6-1"
"Q9Z273-1","reviewed","Tulp1","","A0A3B2W7Y0-1"
"Q9Z275-1","reviewed","Rlbp1","Q9Z275-1","A0A0U1RQ07-1"
"Q9Z275-1","reviewed","Rlbp1","","A0A0U1RNL2-1"
"Q9Z275-1","reviewed","Rlbp1","","A0A0U1RP66-1"
"Q9Z275-1","reviewed","Rlbp1","","A0A0U1RPV9-1"
"Q9Z275-1","reviewed","Rlbp1","","A0A0U1RPQ2-1"
"A0A0G2JDF0-1","unreviewed","Traj31","","A0A0G2JDF0-1"
"Q9Z277-1","reviewed","Baz1b","Q9Z277-1",""
"Q9Z277-1","reviewed","Baz1b","Q9Z277-2",""
"Q9WVL7-1","reviewed","Cxcl15","Q9WVL7-1",""
"Q9WVL6-1","reviewed","Extl3","Q9WVL6-1","Q6P1H4-1"
"Q9WVL4-1","reviewed","Grk1","Q9WVL4-1","G3X905-1"
"Q9WVL3-1","reviewed","Slc12a7","Q9WVL3-1","A0A1Y7VMP9-1"
"Q9WVL3-1","reviewed","Slc12a7","Q9WVL3-2",""
"L7N2D0-1","unreviewed","Gm3486","","L7N2D0-1"
"L7N2D2-1","unreviewed","Gm3278","","L7N2D2-1"
"L7N2D9-1","unreviewed","Gm3239","","L7N2D9-1"
"Q9JI74-1","reviewed","Klhl1","Q9JI74-1",""
"Q9QUN5-1","reviewed","Prl3c1","Q9QUN5-1","Z4YL38-1"
"Q9QUN7-1","reviewed","Tlr2","Q9QUN7-1","G3X8Y8-1"
"Q9QUN3-1","reviewed","Blnk","Q9QUN3-1","D3YWR2-1"
"E9PZM4-1","reviewed","Chd2","E9PZM4-1","F7CDZ7-1"
"E9PZM4-1","reviewed","Chd2","","A0A0G2JFK1-1"
"E9PZM4-1","reviewed","Chd2","","G3UXJ4-1"
"E9PZM4-1","reviewed","Chd2","","M0QWT0-1"
"E9PZM4-1","reviewed","Chd2","","A0A0G2JEP1-1"
"E9PZM4-1","reviewed","Chd2","","A0A0G2JDK8-1"
"E9PZM4-1","reviewed","Chd2","","G3UZG2-1"
"E9PZM4-1","reviewed","Chd2","","A0A0G2JEZ3-1"
"E9PZM4-1","reviewed","Chd2","","A0A0G2JES5-1"
"E9PZM4-1","reviewed","Chd2","","A0A140LJE4-1"
"E9PZM7-1","unreviewed","Scaf11","","A0A2I3BQ68-1"
"E9PZM7-1","unreviewed","Scaf11","","A0A2I3BQX1-1"
"E9PZM7-1","unreviewed","Scaf11","","A0A2I3BRQ7-1"
"E9PZM7-1","unreviewed","Scaf11","","E9PZM7-1"
"E9PZM7-1","unreviewed","Scaf11","","A0A2I3BQU5-1"
"Q9QUN9-1","reviewed","Dkk3","Q9QUN9-1",""
"G3X9Y6-1","unreviewed","Akr1c19","","A0A1Y7VK17-1"
"G3X9Y6-1","unreviewed","Akr1c19","","G3X9Y6-1"
"Q8CFI2-1","reviewed","Cdc34","Q8CFI2-1","A0A1W2P8B1-1"
"Q8CFI2-1","reviewed","Cdc34","","A0A1W2P892-1"
"Q8CFI2-1","reviewed","Cdc34","","A0A1W2P7T2-1"
"Q8CFI2-1","reviewed","Cdc34","","A0A1W2P7U9-1"
"Q8CFI2-1","reviewed","Cdc34","","A0A1W2P7U1-1"
"Q8CFI2-1","reviewed","Cdc34","","A0A1W2P861-1"
"Q91Z69-1","reviewed","Srgap1","Q91Z69-1","D3YZW1-1"
"Q91Z69-1","reviewed","Srgap1","","F7D9F7-1"
"Q91Z67-1","reviewed","Srgap2","Q91Z67-1","A0A087WS59-1"
"Q91Z67-1","reviewed","Srgap2","","A0A087WRV4-1"
"Q91Z67-1","reviewed","Srgap2","","A0A087WNR5-1"
"Q91Z67-1","reviewed","Srgap2","","A0A087WSQ1-1"
"Q91Z67-1","reviewed","Srgap2","","A0A087WS73-1"
